,prompt,other_prompt,classes,answer_index
187,"Question: Which is more likely?
1: Gary is an accountant who plays jazz for a hobby
2: Gary plays jazz for a hobby
Answer:","Question: 
    Gary is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Gary is an accountant who plays jazz for a hobby
2: Gary plays jazz for a hobby
Answer:","[' Gary is an accountant who plays jazz for a hobby', ' Gary plays jazz for a hobby']",1
192,"Question: Which is more likely?
1: Nicholas plays jazz for a hobby
2: Nicholas is an accountant who plays jazz for a hobby
Answer:","Question: 
    Nicholas is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Nicholas plays jazz for a hobby
2: Nicholas is an accountant who plays jazz for a hobby
Answer:","[' Nicholas plays jazz for a hobby', ' Nicholas is an accountant who plays jazz for a hobby']",0
193,"Question: Which is more likely?
1: Nicholas is an accountant who plays jazz for a hobby
2: Nicholas plays jazz for a hobby
Answer:","Question: 
    Nicholas is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Nicholas is an accountant who plays jazz for a hobby
2: Nicholas plays jazz for a hobby
Answer:","[' Nicholas is an accountant who plays jazz for a hobby', ' Nicholas plays jazz for a hobby']",1
198,"Question: Which is more likely?
1: Eric plays jazz for a hobby
2: Eric is an accountant who plays jazz for a hobby
Answer:","Question: 
    Eric is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Eric plays jazz for a hobby
2: Eric is an accountant who plays jazz for a hobby
Answer:","[' Eric plays jazz for a hobby', ' Eric is an accountant who plays jazz for a hobby']",0
199,"Question: Which is more likely?
1: Eric is an accountant who plays jazz for a hobby
2: Eric plays jazz for a hobby
Answer:","Question: 
    Eric is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Eric is an accountant who plays jazz for a hobby
2: Eric plays jazz for a hobby
Answer:","[' Eric is an accountant who plays jazz for a hobby', ' Eric plays jazz for a hobby']",1
204,"Question: Which is more likely?
1: Jonathan plays jazz for a hobby
2: Jonathan is an accountant who plays jazz for a hobby
Answer:","Question: 
    Jonathan is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Jonathan plays jazz for a hobby
2: Jonathan is an accountant who plays jazz for a hobby
Answer:","[' Jonathan plays jazz for a hobby', ' Jonathan is an accountant who plays jazz for a hobby']",0
205,"Question: Which is more likely?
1: Jonathan is an accountant who plays jazz for a hobby
2: Jonathan plays jazz for a hobby
Answer:","Question: 
    Jonathan is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Jonathan is an accountant who plays jazz for a hobby
2: Jonathan plays jazz for a hobby
Answer:","[' Jonathan is an accountant who plays jazz for a hobby', ' Jonathan plays jazz for a hobby']",1
210,"Question: Which is more likely?
1: Stephen plays jazz for a hobby
2: Stephen is an accountant who plays jazz for a hobby
Answer:","Question: 
    Stephen is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Stephen plays jazz for a hobby
2: Stephen is an accountant who plays jazz for a hobby
Answer:","[' Stephen plays jazz for a hobby', ' Stephen is an accountant who plays jazz for a hobby']",0
211,"Question: Which is more likely?
1: Stephen is an accountant who plays jazz for a hobby
2: Stephen plays jazz for a hobby
Answer:","Question: 
    Stephen is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Stephen is an accountant who plays jazz for a hobby
2: Stephen plays jazz for a hobby
Answer:","[' Stephen is an accountant who plays jazz for a hobby', ' Stephen plays jazz for a hobby']",1
216,"Question: Which is more likely?
1: Larry plays jazz for a hobby
2: Larry is an accountant who plays jazz for a hobby
Answer:","Question: 
    Larry is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Larry plays jazz for a hobby
2: Larry is an accountant who plays jazz for a hobby
Answer:","[' Larry plays jazz for a hobby', ' Larry is an accountant who plays jazz for a hobby']",0
217,"Question: Which is more likely?
1: Larry is an accountant who plays jazz for a hobby
2: Larry plays jazz for a hobby
Answer:","Question: 
    Larry is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Larry is an accountant who plays jazz for a hobby
2: Larry plays jazz for a hobby
Answer:","[' Larry is an accountant who plays jazz for a hobby', ' Larry plays jazz for a hobby']",1
222,"Question: Which is more likely?
1: Justin plays jazz for a hobby
2: Justin is an accountant who plays jazz for a hobby
Answer:","Question: 
    Justin is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Justin plays jazz for a hobby
2: Justin is an accountant who plays jazz for a hobby
Answer:","[' Justin plays jazz for a hobby', ' Justin is an accountant who plays jazz for a hobby']",0
223,"Question: Which is more likely?
1: Justin is an accountant who plays jazz for a hobby
2: Justin plays jazz for a hobby
Answer:","Question: 
    Justin is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Justin is an accountant who plays jazz for a hobby
2: Justin plays jazz for a hobby
Answer:","[' Justin is an accountant who plays jazz for a hobby', ' Justin plays jazz for a hobby']",1
228,"Question: Which is more likely?
1: Scott plays jazz for a hobby
2: Scott is an accountant who plays jazz for a hobby
Answer:","Question: 
    Scott is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Scott plays jazz for a hobby
2: Scott is an accountant who plays jazz for a hobby
Answer:","[' Scott plays jazz for a hobby', ' Scott is an accountant who plays jazz for a hobby']",0
229,"Question: Which is more likely?
1: Scott is an accountant who plays jazz for a hobby
2: Scott plays jazz for a hobby
Answer:","Question: 
    Scott is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Scott is an accountant who plays jazz for a hobby
2: Scott plays jazz for a hobby
Answer:","[' Scott is an accountant who plays jazz for a hobby', ' Scott plays jazz for a hobby']",1
234,"Question: Which is more likely?
1: Brandon plays jazz for a hobby
2: Brandon is an accountant who plays jazz for a hobby
Answer:","Question: 
    Brandon is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Brandon plays jazz for a hobby
2: Brandon is an accountant who plays jazz for a hobby
Answer:","[' Brandon plays jazz for a hobby', ' Brandon is an accountant who plays jazz for a hobby']",0
235,"Question: Which is more likely?
1: Brandon is an accountant who plays jazz for a hobby
2: Brandon plays jazz for a hobby
Answer:","Question: 
    Brandon is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Brandon is an accountant who plays jazz for a hobby
2: Brandon plays jazz for a hobby
Answer:","[' Brandon is an accountant who plays jazz for a hobby', ' Brandon plays jazz for a hobby']",1
240,"Question: Which is more likely?
1: Benjamin plays jazz for a hobby
2: Benjamin is an accountant who plays jazz for a hobby
Answer:","Question: 
    Benjamin is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Benjamin plays jazz for a hobby
2: Benjamin is an accountant who plays jazz for a hobby
Answer:","[' Benjamin plays jazz for a hobby', ' Benjamin is an accountant who plays jazz for a hobby']",0
241,"Question: Which is more likely?
1: Benjamin is an accountant who plays jazz for a hobby
2: Benjamin plays jazz for a hobby
Answer:","Question: 
    Benjamin is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Benjamin is an accountant who plays jazz for a hobby
2: Benjamin plays jazz for a hobby
Answer:","[' Benjamin is an accountant who plays jazz for a hobby', ' Benjamin plays jazz for a hobby']",1
246,"Question: Which is more likely?
1: Samuel plays jazz for a hobby
2: Samuel is an accountant who plays jazz for a hobby
Answer:","Question: 
    Samuel is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Samuel plays jazz for a hobby
2: Samuel is an accountant who plays jazz for a hobby
Answer:","[' Samuel plays jazz for a hobby', ' Samuel is an accountant who plays jazz for a hobby']",0
247,"Question: Which is more likely?
1: Samuel is an accountant who plays jazz for a hobby
2: Samuel plays jazz for a hobby
Answer:","Question: 
    Samuel is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Samuel is an accountant who plays jazz for a hobby
2: Samuel plays jazz for a hobby
Answer:","[' Samuel is an accountant who plays jazz for a hobby', ' Samuel plays jazz for a hobby']",1
252,"Question: Which is more likely?
1: Gregory plays jazz for a hobby
2: Gregory is an accountant who plays jazz for a hobby
Answer:","Question: 
    Gregory is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Gregory plays jazz for a hobby
2: Gregory is an accountant who plays jazz for a hobby
Answer:","[' Gregory plays jazz for a hobby', ' Gregory is an accountant who plays jazz for a hobby']",0
253,"Question: Which is more likely?
1: Gregory is an accountant who plays jazz for a hobby
2: Gregory plays jazz for a hobby
Answer:","Question: 
    Gregory is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Gregory is an accountant who plays jazz for a hobby
2: Gregory plays jazz for a hobby
Answer:","[' Gregory is an accountant who plays jazz for a hobby', ' Gregory plays jazz for a hobby']",1
258,"Question: Which is more likely?
1: Alexander plays jazz for a hobby
2: Alexander is an accountant who plays jazz for a hobby
Answer:","Question: 
    Alexander is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Alexander plays jazz for a hobby
2: Alexander is an accountant who plays jazz for a hobby
Answer:","[' Alexander plays jazz for a hobby', ' Alexander is an accountant who plays jazz for a hobby']",0
259,"Question: Which is more likely?
1: Alexander is an accountant who plays jazz for a hobby
2: Alexander plays jazz for a hobby
Answer:","Question: 
    Alexander is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Alexander is an accountant who plays jazz for a hobby
2: Alexander plays jazz for a hobby
Answer:","[' Alexander is an accountant who plays jazz for a hobby', ' Alexander plays jazz for a hobby']",1
264,"Question: Which is more likely?
1: Frank plays jazz for a hobby
2: Frank is an accountant who plays jazz for a hobby
Answer:","Question: 
    Frank is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Frank plays jazz for a hobby
2: Frank is an accountant who plays jazz for a hobby
Answer:","[' Frank plays jazz for a hobby', ' Frank is an accountant who plays jazz for a hobby']",0
265,"Question: Which is more likely?
1: Frank is an accountant who plays jazz for a hobby
2: Frank plays jazz for a hobby
Answer:","Question: 
    Frank is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Frank is an accountant who plays jazz for a hobby
2: Frank plays jazz for a hobby
Answer:","[' Frank is an accountant who plays jazz for a hobby', ' Frank plays jazz for a hobby']",1
270,"Question: Which is more likely?
1: Patrick plays jazz for a hobby
2: Patrick is an accountant who plays jazz for a hobby
Answer:","Question: 
    Patrick is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Patrick plays jazz for a hobby
2: Patrick is an accountant who plays jazz for a hobby
Answer:","[' Patrick plays jazz for a hobby', ' Patrick is an accountant who plays jazz for a hobby']",0
271,"Question: Which is more likely?
1: Patrick is an accountant who plays jazz for a hobby
2: Patrick plays jazz for a hobby
Answer:","Question: 
    Patrick is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Patrick is an accountant who plays jazz for a hobby
2: Patrick plays jazz for a hobby
Answer:","[' Patrick is an accountant who plays jazz for a hobby', ' Patrick plays jazz for a hobby']",1
276,"Question: Which is more likely?
1: Raymond plays jazz for a hobby
2: Raymond is an accountant who plays jazz for a hobby
Answer:","Question: 
    Raymond is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Raymond plays jazz for a hobby
2: Raymond is an accountant who plays jazz for a hobby
Answer:","[' Raymond plays jazz for a hobby', ' Raymond is an accountant who plays jazz for a hobby']",0
277,"Question: Which is more likely?
1: Raymond is an accountant who plays jazz for a hobby
2: Raymond plays jazz for a hobby
Answer:","Question: 
    Raymond is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Raymond is an accountant who plays jazz for a hobby
2: Raymond plays jazz for a hobby
Answer:","[' Raymond is an accountant who plays jazz for a hobby', ' Raymond plays jazz for a hobby']",1
282,"Question: Which is more likely?
1: Jack plays jazz for a hobby
2: Jack is an accountant who plays jazz for a hobby
Answer:","Question: 
    Jack is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Jack plays jazz for a hobby
2: Jack is an accountant who plays jazz for a hobby
Answer:","[' Jack plays jazz for a hobby', ' Jack is an accountant who plays jazz for a hobby']",0
283,"Question: Which is more likely?
1: Jack is an accountant who plays jazz for a hobby
2: Jack plays jazz for a hobby
Answer:","Question: 
    Jack is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Jack is an accountant who plays jazz for a hobby
2: Jack plays jazz for a hobby
Answer:","[' Jack is an accountant who plays jazz for a hobby', ' Jack plays jazz for a hobby']",1
288,"Question: Which is more likely?
1: Dennis plays jazz for a hobby
2: Dennis is an accountant who plays jazz for a hobby
Answer:","Question: 
    Dennis is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Dennis plays jazz for a hobby
2: Dennis is an accountant who plays jazz for a hobby
Answer:","[' Dennis plays jazz for a hobby', ' Dennis is an accountant who plays jazz for a hobby']",0
289,"Question: Which is more likely?
1: Dennis is an accountant who plays jazz for a hobby
2: Dennis plays jazz for a hobby
Answer:","Question: 
    Dennis is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Dennis is an accountant who plays jazz for a hobby
2: Dennis plays jazz for a hobby
Answer:","[' Dennis is an accountant who plays jazz for a hobby', ' Dennis plays jazz for a hobby']",1
294,"Question: Which is more likely?
1: Jerry plays jazz for a hobby
2: Jerry is an accountant who plays jazz for a hobby
Answer:","Question: 
    Jerry is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Jerry plays jazz for a hobby
2: Jerry is an accountant who plays jazz for a hobby
Answer:","[' Jerry plays jazz for a hobby', ' Jerry is an accountant who plays jazz for a hobby']",0
295,"Question: Which is more likely?
1: Jerry is an accountant who plays jazz for a hobby
2: Jerry plays jazz for a hobby
Answer:","Question: 
    Jerry is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Jerry is an accountant who plays jazz for a hobby
2: Jerry plays jazz for a hobby
Answer:","[' Jerry is an accountant who plays jazz for a hobby', ' Jerry plays jazz for a hobby']",1
300,"Question: Which is more likely?
1: Tyler plays jazz for a hobby
2: Tyler is an accountant who plays jazz for a hobby
Answer:","Question: 
    Tyler is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Tyler plays jazz for a hobby
2: Tyler is an accountant who plays jazz for a hobby
Answer:","[' Tyler plays jazz for a hobby', ' Tyler is an accountant who plays jazz for a hobby']",0
301,"Question: Which is more likely?
1: Tyler is an accountant who plays jazz for a hobby
2: Tyler plays jazz for a hobby
Answer:","Question: 
    Tyler is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Tyler is an accountant who plays jazz for a hobby
2: Tyler plays jazz for a hobby
Answer:","[' Tyler is an accountant who plays jazz for a hobby', ' Tyler plays jazz for a hobby']",1
306,"Question: Which is more likely?
1: Aaron plays jazz for a hobby
2: Aaron is an accountant who plays jazz for a hobby
Answer:","Question: 
    Aaron is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Aaron plays jazz for a hobby
2: Aaron is an accountant who plays jazz for a hobby
Answer:","[' Aaron plays jazz for a hobby', ' Aaron is an accountant who plays jazz for a hobby']",0
307,"Question: Which is more likely?
1: Aaron is an accountant who plays jazz for a hobby
2: Aaron plays jazz for a hobby
Answer:","Question: 
    Aaron is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Aaron is an accountant who plays jazz for a hobby
2: Aaron plays jazz for a hobby
Answer:","[' Aaron is an accountant who plays jazz for a hobby', ' Aaron plays jazz for a hobby']",1
312,"Question: Which is more likely?
1: Jose plays jazz for a hobby
2: Jose is an accountant who plays jazz for a hobby
Answer:","Question: 
    Jose is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Jose plays jazz for a hobby
2: Jose is an accountant who plays jazz for a hobby
Answer:","[' Jose plays jazz for a hobby', ' Jose is an accountant who plays jazz for a hobby']",0
313,"Question: Which is more likely?
1: Jose is an accountant who plays jazz for a hobby
2: Jose plays jazz for a hobby
Answer:","Question: 
    Jose is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Jose is an accountant who plays jazz for a hobby
2: Jose plays jazz for a hobby
Answer:","[' Jose is an accountant who plays jazz for a hobby', ' Jose plays jazz for a hobby']",1
318,"Question: Which is more likely?
1: Adam plays jazz for a hobby
2: Adam is an accountant who plays jazz for a hobby
Answer:","Question: 
    Adam is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Adam plays jazz for a hobby
2: Adam is an accountant who plays jazz for a hobby
Answer:","[' Adam plays jazz for a hobby', ' Adam is an accountant who plays jazz for a hobby']",0
319,"Question: Which is more likely?
1: Adam is an accountant who plays jazz for a hobby
2: Adam plays jazz for a hobby
Answer:","Question: 
    Adam is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Adam is an accountant who plays jazz for a hobby
2: Adam plays jazz for a hobby
Answer:","[' Adam is an accountant who plays jazz for a hobby', ' Adam plays jazz for a hobby']",1
324,"Question: Which is more likely?
1: Nathan plays jazz for a hobby
2: Nathan is an accountant who plays jazz for a hobby
Answer:","Question: 
    Nathan is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Nathan plays jazz for a hobby
2: Nathan is an accountant who plays jazz for a hobby
Answer:","[' Nathan plays jazz for a hobby', ' Nathan is an accountant who plays jazz for a hobby']",0
325,"Question: Which is more likely?
1: Nathan is an accountant who plays jazz for a hobby
2: Nathan plays jazz for a hobby
Answer:","Question: 
    Nathan is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Nathan is an accountant who plays jazz for a hobby
2: Nathan plays jazz for a hobby
Answer:","[' Nathan is an accountant who plays jazz for a hobby', ' Nathan plays jazz for a hobby']",1
330,"Question: Which is more likely?
1: Henry plays jazz for a hobby
2: Henry is an accountant who plays jazz for a hobby
Answer:","Question: 
    Henry is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Henry plays jazz for a hobby
2: Henry is an accountant who plays jazz for a hobby
Answer:","[' Henry plays jazz for a hobby', ' Henry is an accountant who plays jazz for a hobby']",0
331,"Question: Which is more likely?
1: Henry is an accountant who plays jazz for a hobby
2: Henry plays jazz for a hobby
Answer:","Question: 
    Henry is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Henry is an accountant who plays jazz for a hobby
2: Henry plays jazz for a hobby
Answer:","[' Henry is an accountant who plays jazz for a hobby', ' Henry plays jazz for a hobby']",1
336,"Question: Which is more likely?
1: Douglas plays jazz for a hobby
2: Douglas is an accountant who plays jazz for a hobby
Answer:","Question: 
    Douglas is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Douglas plays jazz for a hobby
2: Douglas is an accountant who plays jazz for a hobby
Answer:","[' Douglas plays jazz for a hobby', ' Douglas is an accountant who plays jazz for a hobby']",0
337,"Question: Which is more likely?
1: Douglas is an accountant who plays jazz for a hobby
2: Douglas plays jazz for a hobby
Answer:","Question: 
    Douglas is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Douglas is an accountant who plays jazz for a hobby
2: Douglas plays jazz for a hobby
Answer:","[' Douglas is an accountant who plays jazz for a hobby', ' Douglas plays jazz for a hobby']",1
342,"Question: Which is more likely?
1: Zachary plays jazz for a hobby
2: Zachary is an accountant who plays jazz for a hobby
Answer:","Question: 
    Zachary is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Zachary plays jazz for a hobby
2: Zachary is an accountant who plays jazz for a hobby
Answer:","[' Zachary plays jazz for a hobby', ' Zachary is an accountant who plays jazz for a hobby']",0
343,"Question: Which is more likely?
1: Zachary is an accountant who plays jazz for a hobby
2: Zachary plays jazz for a hobby
Answer:","Question: 
    Zachary is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Zachary is an accountant who plays jazz for a hobby
2: Zachary plays jazz for a hobby
Answer:","[' Zachary is an accountant who plays jazz for a hobby', ' Zachary plays jazz for a hobby']",1
348,"Question: Which is more likely?
1: Peter plays jazz for a hobby
2: Peter is an accountant who plays jazz for a hobby
Answer:","Question: 
    Peter is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Peter plays jazz for a hobby
2: Peter is an accountant who plays jazz for a hobby
Answer:","[' Peter plays jazz for a hobby', ' Peter is an accountant who plays jazz for a hobby']",0
349,"Question: Which is more likely?
1: Peter is an accountant who plays jazz for a hobby
2: Peter plays jazz for a hobby
Answer:","Question: 
    Peter is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Peter is an accountant who plays jazz for a hobby
2: Peter plays jazz for a hobby
Answer:","[' Peter is an accountant who plays jazz for a hobby', ' Peter plays jazz for a hobby']",1
354,"Question: Which is more likely?
1: Kyle plays jazz for a hobby
2: Kyle is an accountant who plays jazz for a hobby
Answer:","Question: 
    Kyle is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Kyle plays jazz for a hobby
2: Kyle is an accountant who plays jazz for a hobby
Answer:","[' Kyle plays jazz for a hobby', ' Kyle is an accountant who plays jazz for a hobby']",0
355,"Question: Which is more likely?
1: Kyle is an accountant who plays jazz for a hobby
2: Kyle plays jazz for a hobby
Answer:","Question: 
    Kyle is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Kyle is an accountant who plays jazz for a hobby
2: Kyle plays jazz for a hobby
Answer:","[' Kyle is an accountant who plays jazz for a hobby', ' Kyle plays jazz for a hobby']",1
360,"Question: Which is more likely?
1: Ethan plays jazz for a hobby
2: Ethan is an accountant who plays jazz for a hobby
Answer:","Question: 
    Ethan is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Ethan plays jazz for a hobby
2: Ethan is an accountant who plays jazz for a hobby
Answer:","[' Ethan plays jazz for a hobby', ' Ethan is an accountant who plays jazz for a hobby']",0
361,"Question: Which is more likely?
1: Ethan is an accountant who plays jazz for a hobby
2: Ethan plays jazz for a hobby
Answer:","Question: 
    Ethan is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Ethan is an accountant who plays jazz for a hobby
2: Ethan plays jazz for a hobby
Answer:","[' Ethan is an accountant who plays jazz for a hobby', ' Ethan plays jazz for a hobby']",1
366,"Question: Which is more likely?
1: Walter plays jazz for a hobby
2: Walter is an accountant who plays jazz for a hobby
Answer:","Question: 
    Walter is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Walter plays jazz for a hobby
2: Walter is an accountant who plays jazz for a hobby
Answer:","[' Walter plays jazz for a hobby', ' Walter is an accountant who plays jazz for a hobby']",0
367,"Question: Which is more likely?
1: Walter is an accountant who plays jazz for a hobby
2: Walter plays jazz for a hobby
Answer:","Question: 
    Walter is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Walter is an accountant who plays jazz for a hobby
2: Walter plays jazz for a hobby
Answer:","[' Walter is an accountant who plays jazz for a hobby', ' Walter plays jazz for a hobby']",1
372,"Question: Which is more likely?
1: Noah plays jazz for a hobby
2: Noah is an accountant who plays jazz for a hobby
Answer:","Question: 
    Noah is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Noah plays jazz for a hobby
2: Noah is an accountant who plays jazz for a hobby
Answer:","[' Noah plays jazz for a hobby', ' Noah is an accountant who plays jazz for a hobby']",0
